household_id,cluster,cluster_name,r_score,f_score,m_score,rfm_code,has_demographics
1,3,Loyal Actives,5,3,4,534,True
2,2,Declining,1,2,3,123,False
3,3,Loyal Actives,2,2,3,223,False
4,2,Declining,2,2,2,222,False
5,2,Declining,1,2,1,121,False
6,3,Loyal Actives,5,5,5,555,False
7,3,Loyal Actives,3,2,4,324,True
8,3,Loyal Actives,4,4,5,445,True
9,2,Declining,3,1,2,312,False
11,1,Truly Lapsed,1,1,1,111,False
12,1,Truly Lapsed,1,1,1,111,False
13,0,Champions,5,5,5,555,True
14,0,Champions,5,4,4,544,False
15,3,Loyal Actives,3,3,2,332,False
16,3,Loyal Actives,4,3,2,432,True
17,0,Champions,2,3,4,234,True
18,3,Loyal Actives,5,5,5,555,True
19,3,Loyal Actives,5,5,5,555,True
20,0,Champions,4,5,5,455,True
21,2,Declining,1,2,2,122,False
22,0,Champions,5,4,5,545,True
23,3,Loyal Actives,5,4,3,543,False
24,2,Declining,4,2,1,421,False
25,3,Loyal Actives,4,4,4,444,True
26,3,Loyal Actives,3,3,3,333,False
27,3,Loyal Actives,5,5,5,555,True
28,3,Loyal Actives,3,4,3,343,False
29,3,Loyal Actives,5,3,2,532,False
30,0,Champions,3,1,1,311,False
31,0,Champions,5,3,4,534,True
32,3,Loyal Actives,4,3,3,433,False
33,3,Loyal Actives,5,3,2,532,False
34,2,Declining,2,2,1,221,False
35,0,Champions,2,3,2,232,False
36,3,Loyal Actives,4,5,4,454,False
37,2,Declining,4,3,4,434,False
38,2,Declining,1,1,1,111,False
39,3,Loyal Actives,3,2,4,324,True
40,0,Champions,4,5,5,455,True
41,3,Loyal Actives,4,3,4,434,False
42,3,Loyal Actives,4,3,3,433,True
43,0,Champions,3,4,2,342,True
44,2,Declining,2,2,2,222,False
45,2,Declining,1,2,1,121,False
46,3,Loyal Actives,5,5,5,555,True
47,3,Loyal Actives,4,4,3,443,False
48,2,Declining,2,3,2,232,True
49,0,Champions,5,4,5,545,True
50,1,Truly Lapsed,1,1,1,111,False
51,3,Loyal Actives,2,3,4,234,False
52,3,Loyal Actives,5,4,5,545,True
53,0,Champions,2,3,3,233,False
54,1,Truly Lapsed,1,1,1,111,False
55,3,Loyal Actives,4,4,2,442,True
56,3,Loyal Actives,4,5,5,455,True
57,3,Loyal Actives,3,5,4,354,True
58,0,Champions,5,5,5,555,True
59,3,Loyal Actives,3,2,3,323,False
60,1,Truly Lapsed,4,1,1,411,False
61,1,Truly Lapsed,1,1,1,111,False
62,2,Declining,2,2,1,221,False
63,2,Declining,1,1,1,111,False
64,3,Loyal Actives,5,5,4,554,False
65,3,Loyal Actives,3,4,3,343,False
66,2,Declining,1,1,1,111,False
67,3,Loyal Actives,4,5,5,455,True
68,0,Champions,5,5,5,555,False
69,3,Loyal Actives,3,5,5,355,False
70,2,Declining,5,2,1,521,False
71,2,Declining,4,3,3,433,True
72,3,Loyal Actives,3,3,5,335,False
73,0,Champions,5,5,4,554,False
74,3,Loyal Actives,3,4,3,343,True
75,2,Declining,2,3,2,232,False
76,2,Declining,5,1,1,511,False
77,3,Loyal Actives,3,3,4,334,True
78,3,Loyal Actives,4,5,4,454,True
79,3,Loyal Actives,3,5,4,354,False
80,3,Loyal Actives,5,4,4,544,True
81,3,Loyal Actives,2,4,3,243,False
82,2,Declining,4,2,1,421,False
83,3,Loyal Actives,3,4,2,342,False
84,3,Loyal Actives,3,3,2,332,False
85,3,Loyal Actives,5,5,4,554,True
86,2,Declining,2,2,4,224,True
87,2,Declining,3,2,2,322,False
88,3,Loyal Actives,3,5,5,355,False
89,2,Declining,2,1,1,211,False
90,1,Truly Lapsed,1,1,1,111,False
91,0,Champions,5,5,4,554,False
92,3,Loyal Actives,2,3,3,233,False
93,2,Declining,1,3,4,134,False
94,0,Champions,2,2,1,221,False
95,3,Loyal Actives,5,5,5,555,False
96,1,Truly Lapsed,1,1,1,111,False
97,0,Champions,5,5,5,555,True
98,3,Loyal Actives,4,5,4,454,True
99,3,Loyal Actives,3,5,5,355,False
100,0,Champions,1,2,3,123,False
101,0,Champions,5,5,5,555,True
103,2,Declining,2,1,1,211,False
104,3,Loyal Actives,5,4,5,545,True
105,3,Loyal Actives,3,4,4,344,True
106,0,Champions,5,3,3,533,False
107,2,Declining,1,1,1,111,False
108,3,Loyal Actives,3,3,3,333,False
109,3,Loyal Actives,2,4,4,244,True
110,0,Champions,2,4,4,244,True
111,3,Loyal Actives,5,2,2,522,False
112,0,Champions,3,3,3,333,False
113,0,Champions,4,5,5,455,True
114,3,Loyal Actives,2,3,3,233,True
115,0,Champions,4,5,5,455,False
116,3,Loyal Actives,4,3,2,432,False
117,3,Loyal Actives,4,3,3,433,True
118,3,Loyal Actives,3,3,4,334,True
119,3,Loyal Actives,5,3,4,534,True
120,1,Truly Lapsed,1,1,1,111,False
121,3,Loyal Actives,2,4,3,243,True
122,2,Declining,2,3,2,232,False
123,3,Loyal Actives,4,4,4,444,True
124,2,Declining,5,2,1,521,False
125,0,Champions,4,5,5,455,False
126,2,Declining,1,1,1,111,False
127,0,Champions,4,5,5,455,True
