segment_name,demographic_variable,demographic_value,n_households,pct_within_segment,pct_segment_covered,n_segment_with_demo,n_segment_total
Champions,age,19-24,8,4.0,51.3,202,394
Champions,age,25-34,34,16.8,51.3,202,394
Champions,age,35-44,58,28.7,51.3,202,394
Champions,age,45-54,72,35.6,51.3,202,394
Champions,age,55-64,15,7.4,51.3,202,394
Champions,age,65+,15,7.4,51.3,202,394
Champions,income,100-124K,12,5.9,51.3,202,394
Champions,income,125-149K,9,4.5,51.3,202,394
Champions,income,15-24K,16,7.9,51.3,202,394
Champions,income,150-174K,8,4.0,51.3,202,394
Champions,income,175-199K,1,0.5,51.3,202,394
Champions,income,25-34K,19,9.4,51.3,202,394
Champions,income,250K+,1,0.5,51.3,202,394
Champions,income,35-49K,43,21.3,51.3,202,394
Champions,income,50-74K,56,27.7,51.3,202,394
Champions,income,75-99K,25,12.4,51.3,202,394
Champions,income,Under 15K,12,5.9,51.3,202,394
Champions,marital_status,Married,92,54.8,51.3,202,394
Champions,marital_status,Unmarried,76,45.2,51.3,202,394
Champions,household_size,1,61,30.2,51.3,202,394
Champions,household_size,2,82,40.6,51.3,202,394
Champions,household_size,3,20,9.9,51.3,202,394
Champions,household_size,4,22,10.9,51.3,202,394
Champions,household_size,5+,17,8.4,51.3,202,394
Champions,kids_count,0,128,63.4,51.3,202,394
Champions,kids_count,1,34,16.8,51.3,202,394
Champions,kids_count,2,21,10.4,51.3,202,394
Champions,kids_count,3+,19,9.4,51.3,202,394
Loyal Actives,age,19-24,35,6.2,47.6,561,1179
Loyal Actives,age,25-34,101,18.0,47.6,561,1179
Loyal Actives,age,35-44,126,22.5,47.6,561,1179
Loyal Actives,age,45-54,207,36.9,47.6,561,1179
Loyal Actives,age,55-64,43,7.7,47.6,561,1179
Loyal Actives,age,65+,49,8.7,47.6,561,1179
Loyal Actives,income,100-124K,20,3.6,47.6,561,1179
Loyal Actives,income,125-149K,26,4.6,47.6,561,1179
Loyal Actives,income,15-24K,56,10.0,47.6,561,1179
Loyal Actives,income,150-174K,21,3.7,47.6,561,1179
Loyal Actives,income,175-199K,10,1.8,47.6,561,1179
Loyal Actives,income,200-249K,5,0.9,47.6,561,1179
Loyal Actives,income,25-34K,49,8.7,47.6,561,1179
Loyal Actives,income,250K+,10,1.8,47.6,561,1179
Loyal Actives,income,35-49K,124,22.1,47.6,561,1179
Loyal Actives,income,50-74K,131,23.4,47.6,561,1179
Loyal Actives,income,75-99K,63,11.2,47.6,561,1179
Loyal Actives,income,Under 15K,46,8.2,47.6,561,1179
Loyal Actives,marital_status,Married,229,49.5,47.6,561,1179
Loyal Actives,marital_status,Unmarried,234,50.5,47.6,561,1179
Loyal Actives,household_size,1,184,32.8,47.6,561,1179
Loyal Actives,household_size,2,218,38.9,47.6,561,1179
Loyal Actives,household_size,3,83,14.8,47.6,561,1179
Loyal Actives,household_size,4,30,5.3,47.6,561,1179
Loyal Actives,household_size,5+,46,8.2,47.6,561,1179
Loyal Actives,kids_count,0,364,64.9,47.6,561,1179
Loyal Actives,kids_count,1,112,20.0,47.6,561,1179
Loyal Actives,kids_count,2,38,6.8,47.6,561,1179
Loyal Actives,kids_count,3+,47,8.4,47.6,561,1179
Declining,age,19-24,3,9.4,4.8,32,671
Declining,age,25-34,7,21.9,4.8,32,671
Declining,age,35-44,9,28.1,4.8,32,671
Declining,age,45-54,8,25.0,4.8,32,671
Declining,age,55-64,1,3.1,4.8,32,671
Declining,age,65+,4,12.5,4.8,32,671
Declining,income,100-124K,2,6.2,4.8,32,671
Declining,income,125-149K,2,6.2,4.8,32,671
Declining,income,15-24K,2,6.2,4.8,32,671
Declining,income,150-174K,1,3.1,4.8,32,671
Declining,income,25-34K,8,25.0,4.8,32,671
Declining,income,35-49K,5,15.6,4.8,32,671
Declining,income,50-74K,4,12.5,4.8,32,671
Declining,income,75-99K,6,18.8,4.8,32,671
Declining,income,Under 15K,2,6.2,4.8,32,671
Declining,marital_status,Married,16,57.1,4.8,32,671
Declining,marital_status,Unmarried,12,42.9,4.8,32,671
Declining,household_size,1,10,31.2,4.8,32,671
Declining,household_size,2,13,40.6,4.8,32,671
Declining,household_size,3,5,15.6,4.8,32,671
Declining,household_size,4,1,3.1,4.8,32,671
Declining,household_size,5+,3,9.4,4.8,32,671
Declining,kids_count,0,16,50.0,4.8,32,671
Declining,kids_count,1,12,37.5,4.8,32,671
Declining,kids_count,2,1,3.1,4.8,32,671
Declining,kids_count,3+,3,9.4,4.8,32,671
Truly Lapsed,age,35-44,1,16.7,3.1,6,191
Truly Lapsed,age,45-54,1,16.7,3.1,6,191
Truly Lapsed,age,65+,4,66.7,3.1,6,191
Truly Lapsed,income,125-149K,1,16.7,3.1,6,191
Truly Lapsed,income,25-34K,1,16.7,3.1,6,191
Truly Lapsed,income,50-74K,1,16.7,3.1,6,191
Truly Lapsed,income,75-99K,2,33.3,3.1,6,191
Truly Lapsed,income,Under 15K,1,16.7,3.1,6,191
Truly Lapsed,marital_status,Married,3,60.0,3.1,6,191
Truly Lapsed,marital_status,Unmarried,2,40.0,3.1,6,191
Truly Lapsed,household_size,2,5,83.3,3.1,6,191
Truly Lapsed,household_size,3,1,16.7,3.1,6,191
Truly Lapsed,kids_count,0,5,83.3,3.1,6,191
Truly Lapsed,kids_count,1,1,16.7,3.1,6,191
